userName,komentar
Sri Ummia,makasih kakak cantikk ☺️
pebi arkam,"Untuk maxim ayolah kluarin promo nya agar lebih banyak lagi pengguna maxim, di seluruh Nusantara, jika banyak pengguna maxim maka banyak juga orderan nya bukan hanya baik untuk pengguna tapi baik untuk semua nya terutama untuk maxim sendiri untuk pengguna dan untuk driver semua nya sama meningkat untuk performa statistik nya 🙏"
maria Ulfa,abang gojeknya baik .
Neng rosyidah,bagus semua
Tantri Saidi,Baik
ZHYY STORE,Scam di sma ktnya bisa di pake saldonya
Kak Siti,Oke
Pandu Setiawan,"bapaknya sangat ramah, lancar selalu bapak"
Rava Rylan,Gatau
Sempurna 45,Ok
Lindi G.diana,mantap
Fahmi Firdaus,sangat membantu
Denisa Ramadlani Awaliyah,Slogan iklannya menjatuhkan banget yah
Andriani 7744,terimakasih sudah mengantar dengan selamat
Agus Waluyo,Jujur driver nya Maxim kok judes judes ya. Dan omongan nya kasar membuat tidak nyaman customer
M. Radit,baik dan ramah
Faras Redho Al Fatha,"Tolong pemberian driver yang logis, saya pesen dari titik A ke titik B di beri driver yang ada di dekat titik B, harusnya yang dekat dengan tempat awal saya yaitu titik A"
Defridef 0101,is the best
Muhammad Taqi,"Aplikasi kocak, pas driver sampe di lokasi kita udah keluar notif oke, dipencet oke gabisa², di close, muncul notif terus, berisik, gajelas nih aplikasi, kalau belum siap update gausah update!"
ZaneG58,Terbaik
Mansur Adityasp,baik
St maemunah Munah,sangat baik
Save Dataku,oke
Hidayat Amrullah,Alhamdulillah ramah sekali
Mita PaoPao,bisa kah saldo maxim penumpang di tarik/withdraw ?
Berlien Zevelline,"seputar pelayanan yg saya dapat maxim car, soal nominal ternyata masih ada ya driver gak sopan dan isi chat nya ""murah men iki ongkose"" padahal deket nganternya urgent ongkosan 15.500 ke rumah sakit buat nenek saya jam 4 subuh. sekali lagi saya ingatkan, kalo anda smua bekerja dgn ikhlas insya Allah balasan nya berlipat"" ganda, tapi kalo anda melayani stgh hati, gak akan dapat keberkahan mencari rejeki/nafkah."
Muhammad nur efendi,"Mohon map nya dipermudah, seperti map di apk ojek online lain"
Shalinii Linii,Pelayanan para driver sangat buruk terutama untuk driver mobil !!!
Purwantono Budi,Bagus
Jarot Prayitno,mantap
Romi Praditya,Tolong lah kepada pihak Maxim driver Titik nya tau alamatnya dan map nya d buat banyak dan lengkap Susah x buat titik dan cari titk dan alamat map nya Seperti aplikasi ojek online yg Laen nya Biar gampang cari alamat dan titik penjemputan dan titik pengantaran D buat lengkap lah titik dan alamat map nya
risma triana putri,murah
Wawan Gambiran,"cepat, dan tepat sasaran..."
Vivo Y22,👍🏻👍🏻
Aziz Alfaruq,keren
zaif bhoncel,terimakasih banyak bang
Nizar Zulfikar,Mantap
SIROS TA,cepat dan ramah
Zulkifly Tumulo,Update kali ini banyak bug
Pratama Putra,"Susah mencari titik tujuan, alamat sudah benar tapi titik tujuan setelah sampai beda 1 kilo, titik jemputnya juga gak akurat"
Pupung Suhendar,Oke pengemudinya ramah
tanty julia,trima kasih masssss
Dwi kristha Febrionatra,sip lah murah
Mr F,"Gimanasih apk ini sekarang drivernya buta map 10 menit cuma nunggu drivernya muter2 di map yang ada malah telat kerja telat sekolah udah jelas sesuai titik, mana minta uang tambahan lagi pihak maxim klo bikin harga jangan nangung2"
gumoo,dikenakan waktu tunggu 45 menit padahal driver tiba jemput dan kami langsung jalan tidak ada menunggu dan kami tidak berhenti mampir ke tujuan lain selama dalam perjalanan. masih menunggu respon pihak maxim via aplikasi
Ucokk Baba,Bagus
sandy cahaya,Baru sekali dapat oderan ternyata penipu. Pantes d komen isinya komplen semua komenannya dan oder palsu
Iskandar Kandar,cepat & tanggap...makasih pak
Mr Fredi Wanto,mantap
Bari Firmansyah,cukup memuaskan
Moh Alam,baik
Nona Pandie,mantapp
syarif aja,pengantar sesuai titik lokasi
Hendra Prasetya,abangnya ramah 👍
Tristan Ndut,Good Job 👍
Mawar Diandra,"driver sangat tau rute jalan, aman dan tidak kena macet."
Ina Dhifa,good
Rezka Zidan_09,super sekali baik ganteng..
Riza Yulian,Makasih masih mau menyediakan transportasi murah 🙌🙏🫶
Yaya Putri,"Masak map rumah saya gak ada di map Maxim, menyulitkan pemesanan"
Kikan Raiza,pelayanan terbaik
Rahmad Irfandi,sopir nya baik dan lucua
cucu nurdin,"baik, sangat nyaman hati-hati dan sangat ramah"
Afizul Furkhan,orang nya ramah .dan sangat jujur .smoga sht sllu pak .rejekinya tambah lancar
Ambar Rukiyatno,best
Pitri Yaningsih,good buat bapaknya🙏
Saiful Anwar,aman si
Dhika sf chanel,bagus
Velika Adwitiya,"sangat ramah dan baik,,🙏"
Ardiansyah Sutisna S,maps nya kalo bisa lebih komplit dan driver datang tepat waktu nanti ditambah lagi bintangnya
Muhamad Jiwad D.,Map nya bikin pusing saya sampe salah tujuan
tuhim chanel,terima kasih driver nya baek dan asyik
Radar Bangsa ID Kaperwil Makassar,Murah dan aman pokoknya
As Lee,oke
Alvin Channel,"Untuk Dev. Mapnya tolong di perbaharui, banyak tempat yang mau di tuju tapi tidak ada didalam map maxim."
Tino ajah,"ga bisa pembayaran online untuk makanan, dah gitu makanannya ga detail dan lengkap lagi"
Alberts Artandi,"SUSAH BANGET CARI DRIVER MOBIL, UDAH DITAIKAN HARGA TETAP SUSAH, INI ASLI DRIVER MAXIM CAR PEMALAS PILIH2 NAJIS."
A - 3- 50 - Muhammad Fahmi,mantull
Robyansyah 35,Aplikasi ilegal tarif yang ditetapkan tidak sesuai anjuran pemerintah...
Hasan Arhazmi,good job
Ifa Ifa,mantab
Almituti Tutialmi,Alhamdulillah sampai dgn selamat pak sopir nya ramah dn sopan semoga makin banyak orderan nya
Yasa Sofiulloh,Ribet banget maps elo anjir
Eka Permatasari,maksih
Afriandra Fatahillah,Sangat baik
Yuniar Isnaenny,amanah
nurafifa afifa,"Maps yang jelek untuk pengemudi, alamat dan maps tidak sesuai"
skyes six,hadehh gimana si katanya saldo nya bisa di gunain tanpa cash tapi ternyata cumaa potongannya cuma seribu. kalo ngasih informasi yang jelas lain kali
arief150390@gamil.com Rifai,makasih emang Encep besok order LG he he
Tohir Az,selmt sampai tujuan dgn selmat
gandi sport,👍
Iqbal Maulana,sistem ampas
sarika sari,Tolong di perbaiki dong kak aplikasinya gak jelas ginii dari rumah ke tempat kerja bayarannya rendah kok dari tempat kerja ke rumahh bayarannya lebih mahall.... Padahal satu jalurr
"Reza,Sabrina n Rizky natalia","semangat trs ye mas ganteng,smg lncr kuliahnye,keren bgt,libur kuliah beraktifitas yg menghasilkn"
Januar Tri Dinanda,Driver sangat ramah
Cut Humayra,alhamdulilah bapak nya ramah
Rahmadi Ikhsan,Jelek kasian driver nya yang dekat ga susah dapat order nya yg jauh malah dapat
Fazri Alwi,good
Safii Muhammad,Lumayan buat jajan
marlina 2022,bagus banget
Shafwan Sabir,Belum apa apa main blokir padahal Qt sering order..tanpa ada penjelasan
Baraya Tv,mantaf
Sukrani 123,bagus bagus bagus bagus bagus
herman 9,good
Via Winarni,baguss
Add Syaa,"ramah , asiikk bapak nya"
Triyono Trie,Aplikasi yang mantap ... Membantu semua orang dalam mencari alat transportasi
Papa Elshanum,membantu saat genting. tingkatkan
Gishar Hamka,mantap tawwa
Naza Put,makasih cepat
EKS 10K?,Voucher tidak bisa digunakan
Muhamad Fauzan,Voucher tidak bisa digunakan
Muhammad Assiddiq,sangat baik
Encop Sofiah,pelayanannya bagus
Nusa Munaratur,asik
Nursani Nursani,sangat baik
Ros meri Sembiring,baik dan tepat waktu
Boy Boy,perbaiki maps nya xim suka ribet kalo nyari maps yg susah di jangkau
Dennis Jacobus,baik sekali
Mila Siti Rahayu,bagus. tapi akhir akhir ini kalo ngisi saldo kaspro suka lama update saldo nya
Arivin Hendra,cepat jemput ny........
fadly afiqah,Okk
Yayang Mansur,"cepet banget dahh, si amang motor nage ramah2"
Sahabat Anty,"ramah baik,pijatnya oke bgt enak bgt,mantap abangnya baik juga"
Dita Natasya,"Bisa gak sihh request kendaraan nyh, saya sering dapet kendaraan tua, mending cepet motor nyh inimah lelett, lamaaa bisa bisa kesiangan"
Demes Kamari,drivernya profesional
Melani Lani,baik atau ramah
Abdul Rahman Sudais,good
wennies flanel,Gimanacara top up saldo..kok ga bisa ya...
suhartini ganilita,oke
Da Ni,tolong segera perbaiki maps nya
Putra Koman,Sy baru coba jd 4 dulu yaa
Ardiansyah Syah,Sangat Baik
komang tistiana,bagus
ARFAN PATONI,Bagus
Naila Dina,bapak drivernya baik bangettttt
Zahwa Madinatul Munawaroh,ramah
Ferafqu,"Aplikasi ojek online terbaik menurutku, drivernya yang ramah-ramah dan pemilihan lokasi juga gampang. Terbaik dehh pokoknya"
Fauzi Muhammad,semoga dikasih rizki barokah buat keluarga nya pak amin.... semangat
wawi warung,terima kasih om
KP-nurvilina,sangat ramah
Mohamad Ridwan,Wkwkwkwkekwkwkwk afiliator.....
Siti Mufidatun Nisa,driver sangat ramaahhhh
nasar muhammad,good
Reo Reo,susah login
Tri Nurhayati,Susah sekali membuat akun konsumen
Agus Bewok,ramah jos
Gio Leo,driver ramah..ga minta dilebih lebihkan pembayaran nya .
Isya Makassa,"Order telah dipenuhi oleh: Rifzal Patabuga dengan Trike, warna hitam, nopol DM2074SM. Terima kasih atas perjalanan Anda!"
Yuli Ana,👍
Melinda mahda Dwi aryani,lemot bgt bkn bt kburu laper
Iqha Nur,Mantap keran
Hidayat Tullah,Mantap drivernya
Gina Afrida,sanggat memuaskan
dhika cws21,"Dari segi harga lebih terjangkau, sudah lumayan lama berlangganan. Lebih ditingkatkan lagi untuk ke akuratan titik lokasi, beberapa kali driver tidak tau alamat. Dan adakan SOP untuk driver, berapa kali pesan driver gabawa helm dengan alasan lupa dan meminta pelanggan untuk membawa helm."
Fran Zio,puas sekali menggunankan maxim
Heru Ismaya,tepat waktu
fauzan Carlos,mantap
surya kusuma,sales gendut penipu yaa
Yusri Mulik,ok
Muhammad Faiq Aljabat,Pembohong saya dapet koin tidak masuk cuman angka doang
Isman Mokoagow,Sangat membantu
mufit ali,minusnya dulu riwayat untuk paketnya gak terdaftar.mapsnya susang menjangkau pdahal lokasi dalam kota.driver buta maps byak.beberpa kota kecil tdak menjgakau....plus terjangkau... perbaikan atau customer pindah k aplikasi ijo krn klo cma soal harga mereka jga byak promo
Rahma Watik,drevernya ramah
Wawan Darmawan,Masalah pencarian alamat tujuan masih kurang
eldo mikbal,Tolonglah keakuratan nya di perbaikilah
Wono Wono,baik
Rani Nurdiani,terimakasih ya bu telah mengantarkan dengan baik
Indra Indra,Gunakan android 10 ke atas map lancar
evos abhi,terimakasih
Ikhsan Ramadhan,Scam saldo
Iroh Sukmawati,Bapaknya humble.. baik sopan
Darel M.P,Maxim W Gojek L
Ditanur Utami,"Halo maxim, untuk aplikasi maps ditingkatkan lagi, sama driver tolong kalo emg baru bisa belajar motor jgn lgsg acc jadicmaxim ya karena membahayakan penumpang juga."
Gregorius Elfianus,baik sekali
Terade Tera,baik ramah sabar jadi nilai plus yg GX semua draiver punya
Alidzar ghifari,bagus
eko agus,apkah versi android lama gbsa dwload kak
Budi Endut,mantaap
Rosalia Dewi,sangat baik
Rini Asih,ramah sopan
yessi anggrn255,ramah
Samsung S22,pelayanannya sangat puuuaaas
Rimba Wahyudi,Banyak orderan xim jangan banyak driver makasih
Muhammat Juli,layanan ramah .. dan pembawa kendaraan nya nyaman
Diyah okta Vani,Tolong perbaiki lg aplikasi agar lebih ada privasinya.login pke no wa ga mslh tp jgn dgn cara bisa ambil no wa n chatingan wlopun tu orderan dh lama.dan lebih dijaga tingkah drivernya.masa bisa utk chating wlopun dh orderan lama.udah gtu bisa seenaknya nyolong no wa dgn alasan utk langganan.
Riris Riskiyati,mantap
Candraqq qq,pengemudinya ramah
Jasin Saba,kejauhan
Uki Dasuki,Mantap
Sugara Barbershop,"iya gapapa pak, dinyalain lainkali pak lokasi nya ya biar bapaknya mudah, hati2 dijalan pak"
Shifaul Kamila,aplikasi yg bagus dan sangat membantu
PRAS NNE18,Ngk jelas driver minta ongkos melebihi tarif aplikasi
Aldo Feroza,pelayanan ok orang nya ramah sangat memuaskan
Amelia Febriyanti,"Trauma naik maxim muka drivernya rohani bgt make peci tau nya kelakuannya roh halus,"
Erna Agustina,bagus
Yuan Michael,mantol
Sarah Annisa,baik
Kipti 2018,"trima ksh sdh mengantar dgn baik, smoga rezeki bpk lancar. hati2 di jln Pak"
Dini Adha,sangat baik
Musliadi Adi,maxim bagus
Tri Sutrisno,Food nya kalau bisa bayarnya jangan tunai kalau tunai driver gak mau ambil...apalagi kalau belanjanya banyak driver gak mau ambil resiko karena takut orderan fiktif...tolong maximfood di perbaiki
Nur Mualim,Alhamdulillah nyaman
SAIJEN88,Tingkatkan kemudah drivere dengan customer agar sama-sama memberi manfaat dan dapat membantu dalam perekonomian Indonesia ini semoga semakin bijak dan baik lagi kedepannya
cecep rosid,Sangat membantu
Rezzi Hernanda,driver terbaik lah abng nya
Alvin Ignatius,Luar biasa Sopannya sesuai SOP
Dewi Febriana,kurirnya baik&sopan...
Fitri Wulandari,baik
Dini Diarwati,Nice
henny handayani,on time
Imela Chaty,Orangnya Sopan dan sangat membantu
Rutan Anarky,baik
Siti Saroh,Gak bisa cashless.. Tolong ditingkatkan
Petty Ozzora,sangat sopan dan tepat waktu
Andrean Maulana Siregar,sangat sopan
Dkia Aby,baik karna kurir nya baik baik dan ramah
Devin Kurniawan,pokok nya mantap
AKBAR PRATAMA,pelayanan sangat bagus
reni Pluvia,"baik, ramah, tepat waktu,"
sulfiani uppi,ramah
Ranjani Anjak mekarsari,mantap bang ranjani
Bintangtang Kocaaakdoank,Aplikasi gajelas mau mesen makanan abang ojek nya ga bawa makanan sama disasarin abangnya aku mau cancel orderan tidak bisa dan sudah memilih payment mau pake pembayaran saldo maxim dan malah jadi tunai tiba tiba kasian juga sama abang ojek nya
Lia Jbi,bagus
Hermina Agustina Dede,sangat ramah
Irwan Valepi,"Keren driver nya,, Gerak Cepat"
debi priskila,ramah..
sumarni khalisa,ramah
Fitriatul Umama,suka si naik maxim murah bgt
Rohmat Hidayat,Ok
Sidik Sidik,Terlala ribet pke maxim.. Nyari alamatnya sllu gk ktmu
doddy Setiawan,sangat cepat dan tanggap
Ari Fudin,good
Sgn Ban,ok driver
Marulam Sinaga,sangat bagus
Iswantoro official,oke
Noni Kusmayanti,Cepat akurat
Maziya Rahma,I hate maxim karena hampir semua drivernya gapunya kembalian alias gue nombok mulu ga sesuai harga aplikasi 😭
hari juliandro,good
Raisa Talita,thank u y pak driver maxim
Risa Mairisa,sangat baik
Can Tia,"Bagus satu-satunya yang bisa di-download oleh user Chromebook, gak seperti aplikasi go**k dan gr*b tidak tersedia untuk Chromebook"
cabin resto,ya murah
Refo Mikra,mantap
Iim Aminah,terima kasih tepat waktu
Nama Dinda,"Anehnya pake maxim driver selalu minta harga beda dengan harga aplikasi, pake ada acara kalo udh malem harganya beda. Padahal apa bedanya malem dan siang toh jalannya sama. Kecewa bngtt sama driver maxim yg kaya gnh, dan ini ga cuman 1 driver ya udh ada 4 driver kaya gth. Kalo sampe banyak gth si namanya bukan oknum ya. Tolong di perbaiki ya maxim"
Handridolo Handri,sangat baik
Muhammad Ferdiansyah,bgss kali
May Dwi,sopir ramah
Radithya Athala W,"Harganya ga menetap, selalu berubah ubah"
Phone Cell,baik hati
Afif Fadlyllah,"Tolong di perbaiki apikasinya karena sering eror,apqlgi ketika mau menulis alamat tujuan tidak secara otomatis terisi,butuh waktu lama untuk mamcari alamat tujuan"
Ai Ita Hidayati,baik
Yuni Rafika Dewi,terima kasih pak
Riska Nawati Nur,Drivernya asik
dewi sumiati,"Kocak, dapet saldo 100.000 dari Maxim yang dateng ke Sekolah ternyata yang bisa kepake cuma 1.100 tiap perjalanan. Sisanya tetep harus bayar tunai 🙄"
Hutajuluu Risda,baik
Risiani Ramandey,terbaik
Kucing 77,Aneh
Dika Dika,driver baik dan ramah.
Palembang Jaya,Sangat membatu
dhiah lala,Berapa bln yg lalu Map di rumah aku ga ke baca eh skrng udah bisa ke baca... Mksie macim...
Ridwan Iwan,sangat baik dan cepat terimakasih
Susumedi Edi,Mudah cpt
Nia Kurniati,baik
Evha Ashar,sangat baik trimah kasih ya
Sari Yah,maxim gercep keren
Epin Pin,tepat waktu dan ramah
Siti Romla,"Aplikasi bagus, respon cepat, ongkos tidak bikin kantong jebol, membantu sekali untuk perjlanan apalagi musim hujan kayak gini"
Haji Wahab,Mantap
Indah Kirana,"Layanan baik, respon cepat"
Muh Fadil ansar 5A,bagus
tanpa nama,"layanan gancang pisan,, ajojing ala ala ajojing"
Pipian Floryda,makasih Sdh antar teman saya sampai dgn selamat
Yommi Bokot,"om maxim bae bener mau nunggu sdh gitu jalan2 nda bar2 , lebih mementingkan keselamatan penumpang semoga nanti mau order lagi dapat yg kaya gni, makasih ya om uda antr sy ketempat tujuan dgn selamat 🥰🤗"
cindi bayoa,Saya sangat nyaman naik maxim
Sri Budiyarti,jemputnya cepat terimakasih bpk semiga sehat selalu
Saras Wati,bagus
Arief Baladewa,Terima Kasih
neneng setiawati,Driver sopan ramah dan menjalankan kendaraan dgn baik trimakasih Mas Mubarok dan trimakasih Maxim
Amir Hamzah Dinnillah,Drivwr sombong gamau ngambil. Klo gamau ngambil gausah jdi mitra lah
Basri Babas,keren
Ran 23,Maaf ndo dak jadi yo
Imma Nuriyah,nyaman
Andy Ardian,map kurang lengkap
Ndruru Merlyn,ramah dan sabar
Septiza Prety Nola Nola,sangat baik sekali
Aditya Monni,terima kasih mas
Isma Rosita,terimakasih
Tono Sartono,mantap banget.
Nurcalim 1998,Murah sih. Tp maps ny gak lengkap. Alamat yg saya cari slalu gak terdaftar d maxim. Klo d gojek atau grab skali cari psti ada. Jd sy balik ke apk gojek aja yg maps ny lengkap
Endrawati lia,bagus
Kyozer Ryder,terimakasih pak
Leony Manissa,driver nya ramah...
Fahmi Saleem,Mempermudah setiap perjalan dengan tarif ringan
Ali Safingi,Ngetik alamt lenfkap gk ketmu ngetik nama tempat gk ketemu buang aja lah fk berguna bikin jengkel aja di apk lain gampang ini ribet
Gita Damayanti,driver ramah
Dwi Firmansyah,"cepat, pelayan baik, mobil bersih"
sodiqun gokil,"pelayanan mantap,supirnya sabar banget"
Nita Sihotang,bgusssssss
Putih Fish,driver yang ramah
rajo mulia,kayak taiii aplikasi Maxim...selalu nunggu kode yg tidak jelas...dasar aplikasi taiii
Muhammad Ulin Nuha,"Lebih murah daripada gojek dan grab, apalagi di wilayah balikpapan"
Suyitno,semoga buat dreverx tetep jaya n sukses terus
Hari Dadi,jos
Kuncen Astar,sopir ramah
surya vanezha,"wah gak nyangka maxim bisa semurah ini 🙂😊 tarif nya merakyat lah bagi rakyat jelata seperti kami ini,, gak nyesel pokoknya order maxim, driver nya ramah dan bisa diajak ngobrol 👍share krn kami sebagai pengguna pertama kali nya.. trmksh om maxim 😁🙏🙏"
Johny Steward,Respon cepat dan perjalanan yg aman... Terimakasih Rider dan Terimakasih Maxim....
Riko Aja,mantap
HIjab Ameliano,pelayanan oke aman thx...
Atika Zahra,pelayanan sangat baik
Imelda Siahaan (Melda),bagus
Faizz Bili,terbaik
Nur Hafnita,Terimakasih
Zulwaldi Aditya Utomo,mantap
Desmita speed,good job
dhiens llp,murah terpercaya
Rina Wati,"1. Batasi driver di setiap kota, agar roda kehidupan perojolan bisa stabil dan mensejahterakan. kalo lebih banyak penjual (driver) siapa lagi yang beli(customer)Karena TIDAK ADA pembatasan pendaftaran, semuanya jd driver alhasil, penghasilan terbagi bagi kepada para driver."
hastina tin,sangat baik
Neng Cantik,good
Bambang B. Hantoro,Drivernya bagus. SARAN: Berikan info nama dan alamat lengkap pemesan jasa Maxim kepada driver yang menjemput agar driver bisa langsung datang.
Suy ono,sangat sopon dan cpat
Lega Gustiana,oke
Awan Hari,driver paham jalan dan sopan
paulina mamusung,"sangat ramah sopirnya,,tepat waktu 🙏👍"
Septian eka saputra,"Knpa skrg kita pesan byrnya gk sama sesuai apk, pesan lewat apk maximcar yg hrusnya byr 57rb tiba smpai drivernya minta jd 90rb, knpa bisa gk sesuai pembayarannya sesuai apk."
Eko Yulianto,driver ramah
Suharyono,mantaappp...on time
Nurlinda Putri,baik sekali
Chairul Anwar,Mantap lah
Yuni Kurniati,terimakasih
Iyan 1973,"terima kasih pak sudah mengantar sy ke tujuan dgn aman dan selamat ,sy suka cara bpk bawa motor terlihat hati2 dan lincah ,ramah pulak semoga pelanggan nya tambah banyk dan sehat selalu ya pak"
Fiqrah Talita,baik dan ramah drivernya
Anjar Metajaya,mantapss
Citra Elizabeth,kurir baik pinter n cekatan. thanks
sumedi tidar,mau top up saldo bagaimana caranya?
Nia Kurniawan,"makasih banyak Maxim udh tpt tujuan ,,,"
rusda hawaty,"drivernya ramah,bersih,cepat"
Mala Nurmala,tarif nya enak buat org kerja
Nirvana Vanx,good
indah al ghany,"Abang maxim nya Alhamdulillah ramah,,bawa konsumen dengan aman dan hati² semoga rezekinya mengalir deras buat Abang nya"
Muhammad Tahir,tidak lama nunggunya
Irfan maulana yusuf,"Pas login muter"" doank lama bgt gk dpet kode loginnya, itu kenapa yaa padahal jaringan bagus"
Beby Arzeti,"Driver ramah, oke banget jadi gak jenuh terimakasih Abang ojol 🙏🏻"
Nurul Anisa,mas nya ramah bgt
Fajar Hs,"Driver nya maksa , ngawur , udah dicancel malah ngelabrak . Tambahi fitur mesen temen gitu gk ada"
Ameril Alaska2,"Update map nya dong, masa mau ketik alamat susah banget"
Fathir,sangat berguna
Eddy Sekewael,sangat bagus
Tiwiee Purnama,aplikasi sangat membantu...
Andri Ferdiansyah,ok cepat bagus
Ilham Faizul,sangat memuaskan
Irgi Amaldi Putra,Tingkatkan permasalahan soal maps
Hepi Adi,"driver baik,ramah, bawa mobil asik"
Sandi 77kandai,memuaskan
tiurma hutasima,"driver ny ramah, sopan"
Ecy Nabella Putri,ramah
mopuly mopuly,Mantul
Mikayla Sabyan,Mau login aja susah udah berapa hari ini
ningrum putri,good driver
Aku Heri,good
Darwati Demplon,"Saya baru 5x di pesanan ke 5 saya kecewa sama driver Agung pasa pratama nopol B4013UBJ. Rute saya dari alfamart sunter jaya ke villa gading tarif 56rb tp blm sampai tujuan di turunin di tengah jalan ganda agung, pdhl sy tujuan bkn D situ, sy akhirnya sy trun dan mnt jemput anak.tp tarif di minta 63bkn sesuai pesanan awal 56, trnyata sy khabisan receh kurang 3000 dan sy D srh driver mnt k anak bawain receh, sy D ikutin smp anak dtg jmput 30mnit kmdn bawa receh. Maxim Driver tlg di tegur"
Bagus Apriyadi,"Pengemudi: Muhammad Fariz Hilmi dengan Motorcycle, warna perak muda, nopol BE2623AHC. Selamat menikmati perjalanan!"
Sukrim Hadi,driver santuun bgt
Rahmat Hidayat,mantap
Al Pian,sangat ramah serepnya
Dinda Ainissalafiah,lebih murah
Sonia Ayu antika,good
yosua gunawan,"Driver Ramah, Rekomendes"
Ratna Sugiyatmi,gg
Jodi Suci,cukup sabar
Elektra Karokaro,tepat waktu
Erdi Setiadi,terimakasih
Herman 24,sangat bagus
Nathasya Desrany Sapan,bagus sekli
Maeri Artawan,"driver y mantep, tulus bgt, baik bgt mau nunggu skitar 30 mnit an paket an ku turun dr bis. mksh ya sangat membantu"
Aqsha,driver maxim nya baik dan sopan
Wisnia Zai,terimakasih
Octa Viana,4 dulu ya karna masih belum lengkap alamat nya
Ellen J Raga,mantap
Pilih ini Aja,terima kasi pak
BANG Miss#016,Mantab buat Mas Drivernya.. sikap supel ramah dan baik..
Bagus Aris,driver nya baik sangat memuaskan
Anjay Men,"Banyak bug, udah cancel orderan tapi malah gk bisa"
cyntia kowaas,okok
dias putra lutfiano,bagus dan murah
haer udin,sehat sehat trus pak..
istia Puspita sari,baik ramah
Siti Sa'diyah,baik
Kholis rofiki,ok
wahyudin hasisah,ok
Seto Swandono,"banyak promo,, harga lbh murah"
agus setiawan,"sip, bagus"
Siti Fatimah,the best driver
ana suwanti,"Ya Alloh maseh baik bangettt,smoga rejeki nya mengalir teruuuusss,berkah krn udh nolongin Sy dsaat darurat🙏🙏🙏🙏🙏🙏🙏"
Numi Elmira,"Aplikasinya terlalu maksa mau cancel orderan aja gak bisa cuma ada opsi percepat dengan menaikkan harga dan rubah orderan, belum data kita yang nggak diprivasi driver Maxim kadang suka telfon"
Aldo Morimoto,"Jadi driver maxim tuh syaratnya cma bisa adu bacot sama cust, gatau jalan gpp ,tholol bgt"
babeh gondrong,Murah meriah mantap
Maryatun Marya,"ok,,,,,pesan umum jaketnya dipakai dgn baik,retslitengya gays biar rapi ,,,,biar ttp hangat"
soviya,baik
Rathi Linggau,dapat driver yg super ramah
Mufida Laila21,baguussss
Muhammad Reza,sangat baik
Ndika vebeb,sangat memuaskan
Mulyadi St,ok
Narti Vira,driver sangat sopan
Rita Indiwati,"sikap driver ramah, pilih rute ok"
abdul sabil,layanan sangat memuaskan
Yusran,sangat santun drivernya
Diya Fitri,ramah dan baik
Wawan Fals,ramah
doni sela,terima kasih
Sutirman Sutirman,baik
Bogang Bogang,ntaps
ompong Marusin,"udah langganan mantap driver nyah , makasih"
irsan willbe,Untuk Motor sangat mudah dipesan dengan harga kompetitif namun sayangnya pesan mobil nya yg sangat lama dan sulit😣😖😫😭
Ruhi official,شكرن كسرا
Mochammad Yusron,"mantap bang, maaf bisa nambahin dikit buat ngupi maaf hujan hujan bang trims"
Fefira Yeniputri,tepat waktu dan rapih
Dina Rachmat,baik
bajaj gaming,baik
Mikha Alexander,Tiba2 aplikasi ke log out dengan posisi dapet driver. Notif chat drive nya masuk tapi gabisa kita bales karena log out aplikasi. Udah coba log in gabisa2 nunggu 1 jam tetep gabisa. Tidak rekomendasi.
Terii Cntikkk,sehat trus
Ade Rani Karmelia,mantap
Novran Lova,tepat waktu mantab
Usman Rizal saleh,"Orang ga mesen maxim, tiba tiba order sendiri"
ivon nggohele,sudah semakin membaik aplikasinya
Feri Mulyana,Sangat membantu
ati mane,cepat
Nova Yulanda,nyaman
Dimas Admaja,bagus dan sopan
saiful bahrie,mantap
Arbain Nugroho,bagus pelayanan prima pencarian rute cepat
Sri Devi,sangat baik sekali
Ismady Abidin,Murah dan cepat waktu menunggu
Sad Boy,Aplikasi nya bagus
yani raika,sangat memuaskan
ratna anggraini,good
Ibu Emi,baik
Rizky Riandi,mantap cepat sigap
Rizz Ajaaa,Aplikasi nya burik jirrr
ICHA PUTRI SARI,baik
Nabil Wira,TGR4
Kartika Zakiya,"baksonya mantapppp,pelayanan cepat 👍"
YanTivand vand,sangat ramah dan cepat
Rofii,mantap. sangat membantu
Agung sahrul Widodo,"kekurangannya, tolong maps di perbarui. Karena banyak sekali titik maps yang tidak ada di aplikasi ini Dan TOLONG PERBAIKI SYSTEM ORDERANNYA!! JANGAN SELALU NGELAG/LELET/LEMOT."
sukawati,endulita pokoke cah sesuk tuku meneh kuahe pentole mantep
Ridho Kurniawan,memuaskan
Imon M.,mobil bersih AC dingin gak berisik dengan musik. driver fokus mengendarai!
Nova Setyawan,terima kasih sudah membantu
Azka Alkhafi kaisar,ok
Bisma Sandi Yudha,selalu hati hati
siti sholeha,pelayanan sangat memuaskan dan driver ramah
Yusril Ihja Muarif,terbaik
Akhmad Nasruloh,"Saya menggunakan pembayaran non tunai, tetapi saat selesai melakukan pemesanan. Pada Akun Maxim driver uang tidak masuk, padahal saldo saya sudah terpotong. Sehingga saya dirugikan dan harus membayar 2 kali ke driver. Tolong bantuannya!!!"
Cumbleng Sasuke,"orangnya ramah"""
Ipul Ipulipulll,driveri sangat ramah
